l_all,lat,lon
"Bella Suiza,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",4.7074544,-74.0307467
"Ciudad Jardín,Cali,Valle del Cauca,Colombia",3.3648742,-76.5372893
"Santa Rita,Vichada,Colombia",4.48886,-69.79168
"Acandí,Chocó,Colombia",8.510109,-77.27897999999999
"Girardot,Cundinamarca,Colombia",4.3045959,-74.8031414
"El Castillo,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.6394685,-74.0571842
"Castilla,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",4.6395037,-74.1401447
"Colina Campestre,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",4.7296403,-74.07187019999999
"Ciudad Salitre,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",4.6538621,-74.1137188
"Las Cruces,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.5888867,-74.0792127
"Chapinero Alto,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Aranjuez,Medellín,Antioquia,Colombia",6.28306,-75.56748
"Bochica,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",5.026002999999999,-74.0300122
"Pablo VI,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.650759400000001,-74.0872892
"Coello,Tolima,Colombia",4.286261,-74.897875
"Popular,Medellín,Antioquia,Colombia",6.3033664,-75.5465935
"San Diego,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",4.6145264,-74.07003449999999
"Santagueda,Caldas,Colombia",5.06504,-75.66301000000001
"Ríomar,Barranquilla,Atlántico,Colombia",11.011033,-74.8148887
"Florida,Valle del Cauca,Colombia",3.3213339,-76.235361
"La Virginia,Risaralda,Colombia",4.9019631,-75.88444020000001
"Nicolas De Federman,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",4.649124599999999,-74.0839852
"Olaya,Barranquilla,Atlántico,Colombia",10.9798077,-74.8083078
"Bochalema,Norte de Santander,Colombia",7.611231099999999,-72.6480967
"Santander,Colombia",6.6437076,-73.65362089999999
