l_all,lat,lon
"Hayuelos,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Madelena,Ciudad Bolívar,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Puerto Colombia,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Los Mártires,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Soledad,Atlántico,Colombia",10.91843,-74.76459
"Villa del Rosario,Norte de Santander,Colombia",7.83389,-72.47417
"Buenos Aires,Medellín,Antioquia,Colombia",6.23648,-75.5555
"Tocancipá,Cundinamarca,Colombia",4.96531,-73.91301
"La Flora,Cali,Valle del Cauca,Colombia",3.43722,-76.5225
"Barrancabermeja,Santander,Colombia",7.06528,-73.85472
"Ricaurte,Cundinamarca,Colombia",4.28075,-74.76469
"Bella Suiza,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Ciudad Jardín,Cali,Valle del Cauca,Colombia",3.36139,-76.53429
"Santa Rita,Vichada,Colombia",4.48698,-69.79373
"Acandí,Chocó,Colombia",8.50633,-77.27784
"Girardot,Cundinamarca,Colombia",4.29866,-74.80468
"El Castillo,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Castilla,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Colina Campestre,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Ciudad Salitre,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Las Cruces,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Chapinero Alto,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Aranjuez,Medellín,Antioquia,Colombia",6.291769,-75.547477
"Bochica,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Pablo VI,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Coello,Tolima,Colombia",4.434677,-74.957387
"Popular,Medellín,Antioquia,Colombia",6.207058,-75.571792
"San Diego,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",20.534087,-97.443567
"Santagueda,Caldas,Colombia",5.065,-75.66306
"Ríomar,Barranquilla,Atlántico,Colombia",11.02579,-74.81672
"Florida,Valle del Cauca,Colombia",3.3223,-76.2348
"La Virginia,Risaralda,Colombia",4.89972,-75.8825
"Nicolas De Federman,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Olaya,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Bochalema,Norte de Santander,Colombia",7.61096,-72.64774
"Santander,Colombia",6.676329,-73.416147
"Mosquera,Cundinamarca,Colombia",4.70592,-74.23021
"Gratamira,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"El Tunal,Tunjuelito,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"Dos Quebradas,Risaralda,Colombia",4.83916,-75.66726
"Pontevedra ,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Marly,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Modelia,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Garzón,Huila,Colombia",2.19593,-75.62777
"Villas De Granada,Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Gran Granada,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Anapoima,Cundinamarca,Colombia",4.52028,-74.53944
"Santa Ana,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Chico Navarra,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Tibaná,Boyacá,Colombia",5.31728,-73.39655
"La Felicidad,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Libertador,Rafael Uribe Uribe,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"San Cayetano,Cundinamarca,Colombia",5.30153,-74.06954
"San Rafael,Antioquia,Colombia",6.29436,-75.02589
"Puente Largo,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"El Contador,Usaquén,Zona Norte,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Santa Rosa de Cabal,Risaralda,Colombia",4.86806,-75.62139
"Turbaná,Bolívar,Colombia",10.2717,-75.44222
"Nilo,Cundinamarca,Colombia",4.30604,-74.62083
"Córdoba,Colombia",8.236951,-75.736206
"Las Ferias,Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Santa Cruz,Medellín,Antioquia,Colombia",6.25184,-75.56359
"Moniquirá,Boyacá,Colombia",5.87638,-73.57284
"Tenjo,Cundinamarca,Colombia",4.8727,-74.14435
"Robledo,Medellín,Antioquia,Colombia",6.271931,-75.59133
"San Martín,Meta,Colombia",3.69637,-73.69958
"Chico Reservado,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"San Marcos,Sucre,Colombia",8.65972,-75.12809
"Turbaco,Bolívar,Colombia",10.32944,-75.41137
"Restrepo,Meta,Colombia",4.25833,-73.56142
"Normandia,Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Soledad,Barranquilla,Atlántico,Colombia",10.91843,-74.76459
"Génova,Quindío,Colombia",4.31667,-75.76667
"Cesar,Colombia",9.882069,-73.42306
"Madrid,Cundinamarca,Colombia",4.73244,-74.26419
"Cabrera,Cundinamarca,Colombia",3.98598,-74.48283
"La Vega,Cundinamarca,Colombia",4.99779,-74.33979
"Caldas,Antioquia,Colombia",6.054654,-75.626868
"Andalucía,Valle del Cauca,Colombia",4.17061,-76.16641
"Calarca,Quindío,Colombia",4.52949,-75.64091
"La Granja,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Roma,Bosa,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"El Virrey,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Girardota,Antioquia,Colombia",6.37712,-75.4478
"Villa Claudia,Puente Aranda,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Centro Internacional,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",20.534087,-97.443567
"El Prado,Bucaramanga,Santander,Colombia",7.12539,-73.1198
"Santa Elena,Medellín,Antioquia,Colombia",6.2226,-75.50413
"Metropolis,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Sincelejo,Sucre,Colombia",9.30472,-75.39778
"Ciudad Bolívar,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Salento,Quindío,Colombia",4.6375,-75.57028
"Viterbo,Caldas,Colombia",5.06242,-75.87159
"Marinilla,Antioquia,Colombia",6.17358,-75.33621
"Antonia Santos,Bucaramanga,Santander,Colombia",6.29465,-73.041899
"San Cipriano,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"San Alonso,Bucaramanga,Santander,Colombia",7.131443,-73.118673
"Cundinamarca,Colombia",5.089656,-74.341269
"San Mateo,Soacha,Cundinamarca,Colombia",4.57937,-74.21682
"Coveñas,Sucre,Colombia",9.40412,-75.69628
"Chiquinquirá,Boyacá,Colombia",5.61637,-73.81748
"Nueva Granada,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Caney,Cali,Valle del Cauca,Colombia",4.47361,-76.17889
"La Soledad ,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Portales Del Norte,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Santa Sofía,Boyacá,Colombia",5.70908,-73.60404
"Santa Maria Del Lago,Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Lagos De Cordoba,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Mazuren,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
